gene	pfam	humanog	tf	Spis_alga-hosting_cells	Spis_gastrodermis	Xesp_alga-hosting_cells	Xesp_gastrodermis
Spis_XP_022799852_1	ANAPC4_WD40/	ribonucleic_acid_export_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022797724_1	NTP_transferase/Hexapep/	GDP_mannose_pyrophosphorylase_B	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022789927_1	EamA/	solute_carrier_family_35_member_F5	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022798130_1	p450/	CYP.HG1.7:like:CYP1A1/CYP1A2/CYP1B1:likeclu:13	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022798113_1	PDZ/PDZ/	PDZ.HG14.0:like:SDCBP/SDCBP2:likeclu:2	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022805227_1	Sugar_tr/	Sugar_tr.HG1.0:like:SLC22A1/SLC22A2/SLC22A3/SLC22A4/SLC22A5/SLC22A6/SLC22A7/SLC22A8/SLC22A9/SLC22A10/SLC22A11/SLC22A12/SLC22A13/SLC22A14/SLC22A15/SLC22A16/SLC22A17/SLC22A23/SLC22A24/SLC22A25/SLC22A31:likeclu:4/6/10/11/12/24/25/26/29/30/31/37/74/76/77	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022782987_1	Astacin/TSP_1/TSP_1/CUB/CUB/Lectin_C/	tolloid_like_1	FALSE	TRUE	TRUE	TRUE	TRUE
Spis_XP_022808994_1	Lectin_C/EGF_CA/	Lectin_C.HG4.2:NA	FALSE	TRUE	TRUE	TRUE	TRUE
Spis_XP_022805532_1	Acyl_transf_3/	O-acyltransferase like protein-like isoform X1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022806962_1	Acyl_transf_3/	nose resistant to fluoxetine protein 6-like	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022788711_1	ADH_N/ADH_zinc_N/	sorbitol_dehydrogenase	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022785114_1	Fibrinogen_C/	ficolin_1	FALSE	TRUE	TRUE	FALSE	FALSE
