Mean	log2FC	qv	pfam	bbh
Spis10937_1	0.60698721446101	-1.31342576265514	6.22975950715892e-10	-	cadherin_EGF_LAG_seven_pass_G_type_receptor_1
Spis11609_1	1.5287527418907	-2.70683325151507	1.2334409470846e-61	-	-
Spis13633_1	0.47470637926693	-1.18123318328178	3.98182490280822e-07	RVT_1/	-
Spis15574_1	0.326529667879845	-1.24720236388744	2.64039191104906e-06	-	-
Spis15711_1	0.776408979077308	-3.20085731433625	5.63009520186958e-44	-	-
Spis15868_1	1.10846332413315	-3.97026554591352	4.67264182598527e-73	-	-
Spis16328_1	0.995807981288608	-1.30810084188144	2.09283937869894e-14	-	-
Spis16543_1	0.950178663938752	-4.07059034412526	1.02785107778915e-66	-	-
Spis16544_1	0.122966690615172	-1.62829214077501	4.38634063787752e-07	-	-
Spis18098_1	0.2585383916163	-1.76593223658076	1.16972758395216e-09	-	-
Spis18293_1	0.16157552600145	-1.64162526740016	1.86340902381867e-07	-	-
Spis18328_1	0.296265672704274	-1.57750971908761	1.16511129038943e-08	RVT_1/	protein_tyrosine_phosphatase_non_receptor_type_12
Spis18492_1	1.65562860240153	-4.73625554805711	4.28324993307859e-118	-	-
Spis19084_1	0.0954351084044106	-1.54037558154663	1.23800988501826e-06	Fibrinogen_C/	angiopoietin_2
Spis19510_1	0.082271645176216	-1.40350382693811	7.09416290902818e-06	-	-
Spis21317_1	0.201947469984339	-2.18293882266571	7.28621777100545e-13	RVT_1/Lectin_C/Lectin_C/	mannose_receptor_C_type_2
Spis21431_1	0.589798932443736	-2.15582686968654	4.24426600304314e-21	HEPN_DZIP3/NB-ARC/TPR_12/HEPN_DZIP3/NB-ARC/	DAZ_interacting_zinc_finger_protein_3
Spis21569_1	0.26127080458111	-1.30775124713953	4.2110287900044e-06	CC2-LZ/	-
Spis22141_1	0.171125021966529	-2.14486228623287	2.6541601044357e-12	LRR_8/LRR_8/	leucine_rich_repeat_and_fibronectin_type_III_domain_containing_1
