group	gene	pfam	humanog	tf
Spis_gland_4	Spis_XP_022807504_1	zf-CXXC/Tet_JBP/Tet_JBP/	zf-CXXC.CXXC4/CXXC5/TET1/TET3	TRUE
Spis_gland_4	Spis_XP_022779139_1	zf-C4/Hormone_recep/	zf-C4_Nuclear_receptors.NR2F1/NR2F2/NR2F6	TRUE
Spis_gland_4	Spis_XP_022780405_1	Homeodomain/OAR/	Homeodomains.PRD_OTP	TRUE
Spis_gland_4	Spis_XP_022782003_1	HLH/	HLH.MYC/MYCL/MYCN	TRUE
Spis_gland_4	Spis_XP_022790148_1	LIM/LIM/Homeodomain/	Homeodomains.LIM_LHX6/LIM_LHX8	TRUE
Spis_gland_4	Spis_XP_022791301_1	DM/DMA/	Doublesex_DM.like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTC2	TRUE
Spis_gland_4	Spis_XP_022796023_1	Homeodomain/	Homeodomains.ANTP_EN1/ANTP_EN2/ANTP_HHEX/ANTP_LBX1/ANTP_LBX2/ANTP_TLX1/ANTP_TLX2/ANTP_TLX3	TRUE
Spis_gland_4	Spis_XP_022798990_1	Homeodomain/	Homeodomains.like:ANTP_EMX1/ANTP_EMX2	TRUE
Spis_gland_4	Spis_XP_022801709_1	RFX_DNA_binding/	RFX.RFX4/RFX6/RFX8	TRUE
Spis_gland_4	Spis_XP_022784710_1	Glyco_hydro_18/	chitinase_1	FALSE
Spis_gland_4	Spis_XP_022806828_1	""	spindle pole body component 110-like	FALSE
Spis_gland_4	Spis_XP_022802224_1	SRCR/Beta_helix/SRCR/Beta_helix/SRCR/MAM/	serine_protease_12	FALSE
Spis_gland_4	Spis_XP_022781367_1	7tm_1/	GPCR-rhodopsin.HG1.22:like:GPR26/GPR45/GPR63/GPR78/GPR101/GPR135/GPR161:likeclu:11/12/19/42/53	FALSE
Spis_gland_4	Spis_XP_022797454_1	MAM/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/MAM/MAM/	MAM_and_LDL_receptor_class_A_domain_containing_1	FALSE
Spis_gland_4	Spis_XP_022796878_1	Laminin_EGF/hEGF/hEGF/Laminin_EGF/hEGF/Laminin_EGF/Laminin_EGF/Laminin_EGF/	multiple_EGF_like_domains_10	FALSE
Spis_gland_4	Spis_XP_022808619_1	GPS/7tm_2/	GPCR-secretin.HG1.15:like:ADGRD1:likeclu:14	FALSE
Spis_gland_4	Spis_XP_022791513_1	Neur_chan_LBD/Neur_chan_memb/	ion-neuro-gated.HG2.20:like:GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ/GABRR1/GABRR2/GABRR3:likeclu:14/15	FALSE
Spis_gland_4	Spis_XP_022796107_1	COesterase/	COesterase.HG1.11:like:NLGN1/NLGN2/NLGN3/NLGN4X/NLGN4Y:likeclu:13	FALSE
Spis_gland_4	Spis_XP_022805153_1	Fibrinogen_C/	tenascin_R	FALSE
Spis_gland_4	Spis_XP_022810506_1	Fibrinogen_C/	fibrinogen_like_2	FALSE
Spis_gland_4	Spis_XP_022790925_1	Fibrinogen_C/Fibrinogen_C/	ficolin_2	FALSE
Spis_gland_4	Spis_XP_022803269_1	Fibrinogen_C/	fibrinogen_like_2	FALSE
Spis_gland_4	Spis_XP_022801036_1	PLAT/	polycystin_1_like_2_gene_pseudogene_	FALSE
Spis_gland_4	Spis_XP_022803453_1	Peptidase_S24/	SEC11_homolog_A_signal_peptidase_complex_subunit	FALSE
Spis_gland_4	Spis_XP_022791462_1	C2/PH/DUF1041/	Caps.HG2.0:CADPS/CADPS2	FALSE
Spis_gland_4	Spis_XP_022806766_1	Cu2_monooxygen/Cu2_monoox_C/	monooxygenase_DBH_like_1	FALSE
Spis_gland_4	Spis_XP_022780866_1	EF-hand_7/	calcium_and_integrin_binding_family_member_2	FALSE
Spis_gland_4	Spis_XP_022806437_1	Acyltransferase/	glyceronephosphate_O_acyltransferase	FALSE
Spis_gland_4	Spis_XP_022808654_1	""	""	FALSE
Spis_gland_4	Spis_XP_022809349_1	""	""	FALSE
Spis_gland_4	Spis_XP_022809898_1	EGF_CA/	EGF_containing_fibulin_extracellular_matrix_protein_2	FALSE
Spis_gland_4	Spis_XP_022786256_1	EGF/EGF_3/EGF_CA/	neural_EGFL_like_1	FALSE
Spis_gland_4	Spis_XP_022788026_1	GTP_cyclohydroI/	GTP_cyclohydrolase_1	FALSE
Spis_gland_4	Spis_XP_022790490_1	DUF2353/	coiled_coil_domain_containing_149	FALSE
Spis_gland_4	Spis_XP_022779073_1	Phosphodiest/PigN/	phosphatidylinositol_glycan_anchor_biosynthesis_class_N	FALSE
Spis_gland_4	Spis_XP_022786120_1	ANF_receptor/Lig_chan-Glu_bd/Lig_chan/CaM_bdg_C0/	ion-glutamate.HG3.0:GRIN1	FALSE
Spis_gland_4	Spis_XP_022790799_1	CARD/CARD/NB-ARC/APAF1_C/WD40/WD40/WD40/WD40/WD40/WD40/ANAPC4_WD40/WD40/WD40/WD40/	apoptotic_peptidase_activating_factor_1	FALSE
Spis_gland_4	Spis_XP_022789129_1	FA_hydroxylase/	FA_hydroxylase.HG2.0:AGMO	FALSE
Spis_gland_4	Spis_XP_022791734_1	adh_short_C2/	sterol_dehydrogenase.HG1.19:DHRS2/DHRS4/DHRS4L2	FALSE
Spis_gland_4	Spis_XP_022780081_1	DUF1726/Helicase_RecD/GNAT_acetyltr_2/GNAT_acetyltr_2/tRNA_bind_2/	GNAT_acetyltr_2.HG1.0:NAT10	FALSE
Spis_gland_4	Spis_XP_022779721_1	Autophagy_act_C/	autophagy_related_10	FALSE
Spis_gland_4	Spis_XP_022787648_1	LRR_8/	protein_phosphatase_1_regulatory_subunit_42	FALSE
Spis_gland_4	Spis_XP_022779050_1	Glyco_hydro_63N/Glyco_hydro_63/	mannosyl_oligosaccharide_glucosidase	FALSE
Spis_gland_4	Spis_XP_022799653_1	""	multiple_coagulation_factor_deficiency_2_ER_cargo_receptor_complex_subunit	FALSE
Spis_gland_4	Spis_XP_022799434_1	WHEP-TRS/tRNA-synt_2b/HGTP_anticodon/	glycyl_tRNA_synthetase_1	FALSE
Spis_gland_4	Spis_XP_022790931_1	Pol_alpha_B_N/DNA_pol_E_B/	DNA_polymerase_alpha_2_accessory_subunit	FALSE
